Penyakit,Gejala,Solusi
Busuk Buah Botrytis (Terong),"terong daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi kebun, membuang buah terinfeksi, menjaga sirkulasi udara, fungisida"
Bercak Daun (Terong),"terong daun tetap hijau, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Alternaria solani)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, penggunaan varietas tahan, fungisida"
Bercak Daun (Terong),"terong daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: jamur Alternaria solani)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, penggunaan varietas tahan, fungisida"
Layu Fusarium (Terong),"terong terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
Rotasi tanaman, varietas tahan, fungisida"
Busuk Akar Phytophthora (Terong),"terong batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Phytophthora capsici)**

Langkah Penanganan:
perbaikan drainase tanah, rotasi tanaman, mulsa plastik, fungisida metalaksil"
Blas (Terong),terong daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Terong),terong daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Terong),terong daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Layu Fusarium (Terong),terong daun layu dari bawah ke atas,"**(Penyebab: Fusarium oxysporum)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Terong),terong buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Terong),"terong buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Pangkas buah sakit, fungisida, drainase baik"
Karat Daun (Terong),terong daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Terong),"terong daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Terong),"terong akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Terong),"terong buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Akar (Tomat),"tomat daun berwarna kuning, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Rhizoctonia solani)**

Langkah Penanganan:
Perbaiki drainase tanah dan gunakan fungisida"
Busuk Lunak (Tomat),"tomat daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
Buang bagian tanaman sakit, kurangi kelembaban, gunakan bakterisida"
Antraknosa (Tomat),"tomat daun tetap hijau, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Fungisida dan sanitasi kebun"
Busuk Lunak (Tomat),"tomat daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Erwinia carotovora)**

Langkah Penanganan:
Sanitasi lahan dan penggunaan bakterisida"
Karat Daun (Tomat),"tomat daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur karat daun)**

Langkah Penanganan:
Semprot fungisida dan sanitasi tanaman"
Busuk Lunak (Tomat),"tomat daun tetap hijau, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi kebun, penggunaan bibit sehat, pengaturan kelembapan, bakterisida"
Karat Daun (Tomat),"tomat daun berwarna kuning, terdapat bercak pada daun","**(Penyebab: jamur Puccinia spp.)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, varietas tahan, fungisida"
Antraknosa (Tomat),tomat daun tetap hijau,"**(Penyebab: jamur Colletotrichum coccodes)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, penggunaan benih sehat, fungisida"
Layu Bakteri (Tomat),"tomat terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: bakteri Ralstonia solanacearum)**

Langkah Penanganan:
bibit sehat, rotasi tanaman, sanitasi kebun, bakterisida"
Jamur Upas (Tomat),"tomat daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian sakit, sanitasi kebun, fungisida"
Bercak Daun (Tomat),"tomat terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Septoria lycopersici)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, fungisida"
Busuk Buah Botrytis (Tomat),"tomat daun tetap hijau, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi buah sakit, pengaturan kelembapan, fungisida"
Antraknosa (Tomat),"tomat daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Colletotrichum coccodes)**

Langkah Penanganan:
rotasi tanaman, sanitasi buah terinfeksi, fungisida klorotalonil atau mankozeb"
Karat Daun (Tomat),"tomat daun tetap hijau, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Puccinia spp.)**

Langkah Penanganan:
sanitasi daun terinfeksi, pengaturan jarak tanam, fungisida mankozeb atau propikonazol"
Jamur Upas (Tomat),"tomat daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Upasia salmonicolor)**

Langkah Penanganan:
pemangkasan bagian sakit, sanitasi kebun, fungisida tembaga"
Hawar Daun Bakteri (Tomat),"tomat terdapat bercak pada daun, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Xanthomonas spp.)**

Langkah Penanganan:
benih bebas patogen, sanitasi tanaman sakit, bakterisida tembaga"
Blas (Tomat),tomat daun bercak coklat berbentuk belah ketupat,"**(Penyebab: Jamur Magnaporthe oryzae)**

Langkah Penanganan:
Gunakan varietas tahan, fungisida, perbaikan drainase"
Wereng Batang Coklat (Tomat),tomat daun menguning lalu mengering,"**(Penyebab: Nilaparvata lugens)**

Langkah Penanganan:
Gunakan insektisida selektif, varietas tahan"
Ulat Grayak (Tomat),tomat daun berlubang tidak beraturan,"**(Penyebab: Spodoptera litura)**

Langkah Penanganan:
Gunakan insektisida biologis, perangkap feromon"
Lalat Buah (Tomat),"tomat buah berlubang, buah membusuk dari dalam, buah gugur sebelum matang","**(Penyebab: Bactrocera sp)**

Langkah Penanganan:
Solarisasi tanah, fungisida, varietas tahan"
Antraknosa (Tomat),tomat buah muncul bercak hitam cekung,"**(Penyebab: Colletotrichum capsici)**

Langkah Penanganan:
Fungisida, panen cepat, rotasi tanaman"
Busuk Buah (Tomat),"tomat buah coklat kehitaman, busuk lembek","**(Penyebab: Phytophthora palmivora)**

Langkah Penanganan:
Sanitasi buah terserang, pemusnahan buah jatuh, penggunaan perangkap metil eugenol"
Karat Daun (Tomat),tomat daun bercak kuning-oranye,"**(Penyebab: Hemileia vastatrix)**

Langkah Penanganan:
Fungisida tembaga, pangkas daun sakit"
Virus Kuning (Tomat),"tomat daun keriting, kerdil, berubah kuning","**(Penyebab: Virus Gemini via kutu kebul)**

Langkah Penanganan:
Kendalikan kutu kebul, varietas tahan"
Busuk Akar (Tomat),"tomat akar membusuk, tanaman layu mendadak","**(Penyebab: Phytophthora spp.)**

Langkah Penanganan:
Perbaiki drainase, fungisida tanah"
Penggerek Buah (Tomat),"tomat buah berlubang kecil, biji rusak","**(Penyebab: Hypothenemus hampei)**

Langkah Penanganan:
Perangkap serangga, insektisida nabati"
Busuk Daun (Tomat),tomat daun membusuk cepat,"**(Penyebab: Phytophthora infestans)**

Langkah Penanganan:
Gunakan fungisida sistemik (metalaksil), perbaiki drainase, dan buang tanaman terinfeksi"
Bercak Daun (Tomat),tomat daun bercak coklat,"**(Penyebab: Septoria lycopersici)**

Langkah Penanganan:
Gunakan fungisida (klorotalonil), sanitasi daun sakit, dan rotasi tanaman"
Ulat Buah (Tomat),tomat buah berlubang,"**(Penyebab: Helicoverpa armigera)**

Langkah Penanganan:
Gunakan insektisida biologis (Bt), pasang perangkap feromon, dan pengendalian terpadu"
Powdery Mildew (Embun Tepung) (Tomat),"tomat lapisan putih seperti bedak di daun, batang, dan bunga.","**(Penyebab: Lapisan putih seperti bedak di daun, batang, dan bunga)**

Langkah Penanganan:
Semprot fungisida sulfur atau kalium bikarbonat. Atur jarak tanam agar tidak terlalu lembap."
Mosaic Virus (Virus Mosaik) (Tomat),"tomat daun belang-belang hijau muda/tua, mengeriting, tanaman kerdil.","**(Penyebab: Daun belang, mengeriting, tanaman kerdil)**

Langkah Penanganan:
Kendalikan vektor (kutu daun/aphids) dengan insektisida. Cabut dan bakar tanaman yang terinfeksi."
Fusarium Wilt (Layu Fusarium) (Tomat),"tomat tanaman layu cepat (sering satu sisi), jaringan vaskular coklat di dalam batang.","**(Penyebab: Layu cepat, pembuluh coklat)**

Langkah Penanganan:
Rotasi tanaman, tingkatkan pH tanah, gunakan varietas tahan, gunakan agens hayati Trichoderma."
Layu Bakteri (Wortel),"wortel daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Bakteri Ralstonia solanacearum)**

Langkah Penanganan:
Rotasi tanaman dan gunakan bibit sehat"
Layu Bakteri (Wortel),"wortel daun tetap hijau, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Ralstonia solanacearum)**

Langkah Penanganan:
Rotasi tanaman dan sanitasi lahan"
Bercak Daun (Wortel),"wortel daun tetap hijau, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: Jamur Alternaria dauci)**

Langkah Penanganan:
Fungisida dan sanitasi"
Hawar Daun Bakteri (Wortel),"wortel daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri patogen daun)**

Langkah Penanganan:
Gunakan bakterisida dan benih sehat"
Antraknosa (Wortel),"wortel daun berwarna kuning, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Colletotrichum spp.)**

Langkah Penanganan:
Fungisida dan sanitasi tanaman"
Bercak Daun (Wortel),"wortel daun tetap hijau, daun mengalami kelayuan","**(Penyebab: Jamur Alternaria spp.)**

Langkah Penanganan:
Fungisida dan rotasi tanaman"
Busuk Buah Botrytis (Wortel),"wortel daun berwarna kuning, terdapat bercak pada daun, batang mengalami pembusukan","**(Penyebab: Jamur Botrytis cinerea)**

Langkah Penanganan:
Sanitasi kebun dan fungisida"
Busuk Hitam (Wortel),"wortel daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Alternaria radicina)**

Langkah Penanganan:
rotasi tanaman, sanitasi lahan, penggunaan benih sehat, fungisida"
Antraknosa (Wortel),"wortel daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: jamur Colletotrichum spp.)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, penggunaan benih sehat, fungisida"
Busuk Lunak (Wortel),"wortel batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: bakteri Pectobacterium carotovorum)**

Langkah Penanganan:
sanitasi lahan, penggunaan benih sehat, pengaturan kelembapan, bakterisida"
Busuk Hitam (Wortel),"wortel terdapat bercak pada daun, daun mengalami kelayuan, batang mengalami pembusukan","**(Penyebab: jamur Alternaria radicina)**

Langkah Penanganan:
rotasi tanaman, sanitasi lahan, penggunaan benih sehat, fungisida"
Busuk Buah Botrytis (Wortel),"wortel daun berwarna kuning, daun mengalami kelayuan, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: jamur Botrytis cinerea)**

Langkah Penanganan:
sanitasi kebun, rotasi tanaman, menjaga kelembapan, fungisida"
Hawar Daun Bakteri (Wortel),"wortel daun berwarna kuning, terdapat bercak pada daun","**(Penyebab: bakteri Xanthomonas spp.)**

Langkah Penanganan:
sanitasi kebun, benih sehat, rotasi tanaman, bakterisida"
Layu Fusarium (Wortel),"wortel daun tetap hijau, terdapat bercak pada daun, pertumbuhan tanaman terhambat","**(Penyebab: jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, benih sehat, drainase baik, fungisida"
Bercak Daun Cercospora (Wortel),"wortel daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: jamur Cercospora carotae)**

Langkah Penanganan:
sanitasi daun sakit, rotasi tanaman, fungisida"
Bercak Daun Cercospora (Wortel),"wortel daun berwarna kuning, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Cercospora carotae)**

Langkah Penanganan:
rotasi tanaman, sanitasi daun terinfeksi, pengaturan jarak tanam, fungisida klorotalonil atau mankozeb"
Hawar Daun Bakteri (Wortel),"wortel daun tetap hijau, batang mengalami pembusukan, pertumbuhan tanaman terhambat","**(Penyebab: Bakteri Xanthomonas campestris)**

Langkah Penanganan:
sanitasi lahan, penggunaan benih sehat, rotasi tanaman, bakterisida tembaga"
Layu Fusarium (Wortel),"wortel daun berwarna kuning, terdapat bercak pada daun, daun mengalami kelayuan","**(Penyebab: Jamur Fusarium oxysporum)**

Langkah Penanganan:
rotasi tanaman, bibit sehat, pengolahan tanah baik, agen hayati Trichoderma"
Bercak Daun Cercospora (Wortel),"wortel daun tetap hijau, daun mengalami kelayuan, pertumbuhan tanaman terhambat","**(Penyebab: Jamur Cercospora carotae)**

Langkah Penanganan:
rotasi tanaman, sanitasi daun sakit, fungisida klorotalonil"
Nematoda Bintil Akar (Wortel),wortel akar membengkak (bintil),"**(Penyebab: Meloidogyne sp.)**

Langkah Penanganan:
Gunakan nematisida, lakukan rotasi tanaman, solarisasi tanah, dan gunakan varietas tahan"
